,Name,Branch,Town,City,Exam,Rank_19_R1,Score_19_R1,Rank_19_R2,Score_19_R2,Rank_20_R1,Score_20_R1,Rank_20_R2,Score_20_R2
444,Lokmanya Tilak Jankalyan Shikshan Sanstha,Civil Engineering, Priyadarshani College ofEngineering, Nagpur,JEE,14079.0,55.0,14079.0,55.0,25812.0,63.4977421,40716.0,42.7509914
445,Lokmanya Tilak Jankalyan Shikshan Sanstha,Civil Engineering, Priyadarshani College ofEngineering, Nagpur,JEE,14079.0,55.0,14079.0,55.0,25812.0,63.4977421,54269.0,10.7247877
446,Sinhgad Technical Education Society's Smt. Kashibai Navale College ofEngineering,Information Technology,Vadgaon,Pune,JEE,14303.0,54.0,17278.0,49.0,9252.0,83.5781296,7285.0,86.2234746
447,Ankush Shikshan Sanstha's G.H.Raisoni College of Engineering,Electrical Engineering, Nagpur,,JEE,14427.0,54.0,14747.0,53.0,21885.0,68.4444935,21130.0,69.2278304
448,Dr. D. Y. Patil School OF Engineering,Computer Engineering, Lohegaon, Pune,JEE,14496.0,54.0,16339.0,50.0,12428.0,79.5845466,10522.0,81.8931529
449,N.Y.S.S.'s Datta Meghe College of Engineering,Civil Engineering, Airoli, Navi Mumbai,JEE,14694.0,53.0,14836.0,53.0,28696.0,59.8178469,32048.0,55.7621254
450,N.Y.S.S.'s Datta Meghe College of Engineering,Civil Engineering, Airoli, Navi Mumbai,JEE,14694.0,53.0,19779.0,45.0,28696.0,59.8178469,32048.0,55.7621254
451,N.Y.S.S.'s Datta Meghe College of Engineering,Civil Engineering, Airoli, Navi Mumbai,JEE,18228.0,47.0,14836.0,53.0,28696.0,59.8178469,32048.0,55.7621254
452,N.Y.S.S.'s Datta Meghe College of Engineering,Civil Engineering, Airoli, Navi Mumbai,JEE,18228.0,47.0,19779.0,45.0,28696.0,59.8178469,32048.0,55.7621254
453,Kolhapur Institute of Technology's College of Engineering(Autonomous),Civil Engineering,Kolhapur,,JEE,14784.0,53.0,9100.0,67.0,26715.0,62.1723066,27152.0,61.7967833
454,Vidyavardhini's College of Engineering and Technology,Civil Engineering, Vasai,,JEE,14860.0,53.0,15489.0,52.0,30414.0,57.4239924,33130.0,53.6964731
455,Walchand Institute of Technology,Civil Engineering, Solapur,,JEE,15536.0,51.0,15604.0,51.0,9154.0,83.7000641,9127.0,83.7000641
456,Bharati Vidyapeeth's College of Engineering,Civil Engineering,Lavale, Pune,JEE,15542.0,51.0,20653.0,44.0,38998.0,45.5906789,26546.0,62.6356061
