,Unnamed: 0,Name,Branch,Town,Exam,Rank_19_R1,Score_19_R1,Rank_19_R2,Score_19_R2,Rank_20_R1,Score_20_R1,Rank_20_R2,Score_20_R2,Genders Accepted,Campus Size,Total Student Enrollments,Total Faculty,Established Year,Rating,University,Facilities,City_y,State,Country,College Type,Average Fees
13,83,Shri Ramdeobaba College of Engineering and Management,Civil Engineering, Nagpur,JEE,2963,107,4853,88,5306,89.179415,5939,88.2289171,Co-Ed,,4685,256,1984,1.49,"Rashtrasant Tukadoji Maharaj Nagpur University, Nagpur","Boys Hostel, Girls Hostel, Gym, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, IT Infrastructure, Laboratories, Convenience Store, Alumni Associations, Parking Facility, Banks Facilities",Nagpur,Maharashtra,India,Private,442916.6667
14,84,Shri Ramdeobaba College of Engineering and Management,Civil Engineering, Nagpur,JEE,2963,107,4853,88,5306,89.179415,6111,87.9271554,Co-Ed,,4685,256,1984,1.93,"Rashtrasant Tukadoji Maharaj Nagpur University, Nagpur","Boys Hostel, Girls Hostel, Gym, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, IT Infrastructure, Laboratories, Convenience Store, Alumni Associations, Parking Facility, Banks Facilities",Nagpur,Maharashtra,India,Private,442916.6667
15,116,Shri Ramdeobaba College of Engineering and Management,Electronics Engineering, Nagpur,JEE,4643,90,2816,109,3678,91.6238781,3315,92.1371141,Co-Ed,,4685,256,1984,2.3,"Rashtrasant Tukadoji Maharaj Nagpur University, Nagpur","Boys Hostel, Girls Hostel, Gym, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, IT Infrastructure, Laboratories, Convenience Store, Alumni Associations, Parking Facility, Banks Facilities",Nagpur,Maharashtra,India,Private,442916.6667
16,117,Shri Ramdeobaba College of Engineering and Management,Electronics Engineering, Nagpur,JEE,4643,90,2816,109,3784,91.4431022,3315,92.1371141,Co-Ed,,4685,256,1984,2.37,"Rashtrasant Tukadoji Maharaj Nagpur University, Nagpur","Boys Hostel, Girls Hostel, Gym, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, IT Infrastructure, Laboratories, Convenience Store, Alumni Associations, Parking Facility, Banks Facilities",Nagpur,Maharashtra,India,Private,442916.6667
17,118,Shri Ramdeobaba College of Engineering and Management,Electronics Engineering, Nagpur,JEE,4643,90,5314,85,3678,91.6238781,3315,92.1371141,Co-Ed,,4685,256,1984,2.08,"Rashtrasant Tukadoji Maharaj Nagpur University, Nagpur","Boys Hostel, Girls Hostel, Gym, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, IT Infrastructure, Laboratories, Convenience Store, Alumni Associations, Parking Facility, Banks Facilities",Nagpur,Maharashtra,India,Private,442916.6667
18,119,Shri Ramdeobaba College of Engineering and Management,Electronics Engineering, Nagpur,JEE,4643,90,5314,85,3784,91.4431022,3315,92.1371141,Co-Ed,,4685,256,1984,2.32,"Rashtrasant Tukadoji Maharaj Nagpur University, Nagpur","Boys Hostel, Girls Hostel, Gym, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, IT Infrastructure, Laboratories, Convenience Store, Alumni Associations, Parking Facility, Banks Facilities",Nagpur,Maharashtra,India,Private,442916.6667
19,120,Shri Ramdeobaba College of Engineering and Management,Electronics Engineering, Nagpur,JEE,4828,88,2816,109,3678,91.6238781,3315,92.1371141,Co-Ed,,4685,256,1984,2.31,"Rashtrasant Tukadoji Maharaj Nagpur University, Nagpur","Boys Hostel, Girls Hostel, Gym, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, IT Infrastructure, Laboratories, Convenience Store, Alumni Associations, Parking Facility, Banks Facilities",Nagpur,Maharashtra,India,Private,442916.6667
20,121,Shri Ramdeobaba College of Engineering and Management,Electronics Engineering, Nagpur,JEE,4828,88,2816,109,3784,91.4431022,3315,92.1371141,Co-Ed,,4685,256,1984,2.06,"Rashtrasant Tukadoji Maharaj Nagpur University, Nagpur","Boys Hostel, Girls Hostel, Gym, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, IT Infrastructure, Laboratories, Convenience Store, Alumni Associations, Parking Facility, Banks Facilities",Nagpur,Maharashtra,India,Private,442916.6667
21,122,Shri Ramdeobaba College of Engineering and Management,Electronics Engineering, Nagpur,JEE,4828,88,5314,85,3678,91.6238781,3315,92.1371141,Co-Ed,,4685,256,1984,2,"Rashtrasant Tukadoji Maharaj Nagpur University, Nagpur","Boys Hostel, Girls Hostel, Gym, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, IT Infrastructure, Laboratories, Convenience Store, Alumni Associations, Parking Facility, Banks Facilities",Nagpur,Maharashtra,India,Private,442916.6667
22,123,Shri Ramdeobaba College of Engineering and Management,Electronics Engineering, Nagpur,JEE,4828,88,5314,85,3784,91.4431022,3315,92.1371141,Co-Ed,,4685,256,1984,2.19,"Rashtrasant Tukadoji Maharaj Nagpur University, Nagpur","Boys Hostel, Girls Hostel, Gym, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, IT Infrastructure, Laboratories, Convenience Store, Alumni Associations, Parking Facility, Banks Facilities",Nagpur,Maharashtra,India,Private,442916.6667
