,Rank,Scores,Name,Branch,Town,Genders Accepted,Campus Size,Total Student Enrollments,Total Faculty,Established Year,Rating,University,Facilities,City_y,State,Country,College Type,Average Fees
29,1728,127.0,Shri Ramdeobaba College of Engineering and Management,"Electronics and CommunicationEngineering", Nagpur,Co-Ed,,4685,256,1984,3.89,"Rashtrasant Tukadoji Maharaj Nagpur University, Nagpur","Boys Hostel, Girls Hostel, Gym, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, IT Infrastructure, Laboratories, Convenience Store, Alumni Associations, Parking Facility, Banks Facilities",Nagpur,Maharashtra,India,Private,442916.6667
75,1882,124.0,Thadomal Shahani Engineering College,Information Technology, Bandra,Co-Ed,,1718,110,1983,3.87,"University of Mumbai, Mumbai","Library, Sports, Cafeteria, Auditorium, Medical/Hospital, Wifi, IT Infrastructure, Laboratories, Alumni Associations",Mumbai,Maharashtra,India,Private,587000
161,1928,123.0,Thakur College of Engineering and Technology,Computer Engineering, Kandivali,Co-Ed,3 Acres,3193,135,2001,3.52,"University of Mumbai, Mumbai","Boys Hostel, Gym, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, Wifi, IT Infrastructure, Laboratories, Convenience Store, Alumni Associations, Guest Room, Banks Facilities",Mumbai,Maharashtra,India,Private,491666.6667
122,1910,123.0,Don Bosco Institute of Technology,Computer Engineering, Mumbai,Co-Ed,,1547,90,2001,3.82,"University of Mumbai, Mumbai","Gym, Library, Sports, Cafeteria, Auditorium, Wifi, IT Infrastructure, Laboratories, Alumni Associations",Mumbai,Maharashtra,India,Private,496000
39,1928,123.0,Shri Ramdeobaba College of Engineering and Management,"Electronics and CommunicationEngineering", Nagpur,Co-Ed,,4685,256,1984,3.99,"Rashtrasant Tukadoji Maharaj Nagpur University, Nagpur","Boys Hostel, Girls Hostel, Gym, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, IT Infrastructure, Laboratories, Convenience Store, Alumni Associations, Parking Facility, Banks Facilities",Nagpur,Maharashtra,India,Private,442916.6667
121,1910,123.0,Don Bosco Institute of Technology,Computer Engineering, Mumbai,Co-Ed,36 Acres,2654,222,2001,3.82,"Visvesvaraya Technological University, Belagavi","Boys Hostel, Girls Hostel, Gym, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, Wifi, IT Infrastructure, Transport, Laboratories, Alumni Associations, Banks Facilities",Bengaluru,Karnataka,India,Private,175272.7273
129,2015,121.0,Don Bosco Institute of Technology,Computer Engineering, Mumbai,Co-Ed,36 Acres,2654,222,2001,3.55,"Visvesvaraya Technological University, Belagavi","Boys Hostel, Girls Hostel, Gym, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, Wifi, IT Infrastructure, Transport, Laboratories, Alumni Associations, Banks Facilities",Bengaluru,Karnataka,India,Private,175272.7273
130,2015,121.0,Don Bosco Institute of Technology,Computer Engineering, Mumbai,Co-Ed,,1547,90,2001,3.86,"University of Mumbai, Mumbai","Gym, Library, Sports, Cafeteria, Auditorium, Wifi, IT Infrastructure, Laboratories, Alumni Associations",Mumbai,Maharashtra,India,Private,496000
95,2001,121.0,Vivekanand Education Society's Institute of Technology,Computer Engineering, Chembur,Co-Ed,,3138,126,1984,3.81,"University of Mumbai, Mumbai","Boys Hostel, Girls Hostel, Gym, Library, Sports, Cafeteria, Auditorium, IT Infrastructure, Laboratories, Alumni Associations, Guest Room",Mumbai,Maharashtra,India,Private,315500
7,2052,121.0,Institute of Chemical Technology,"Fibres and Textile ProcessingTechnology", Matunga,Co-Ed,16 Acres,1753,116,2008,3.91,,"Boys Hostel, Girls Hostel, Gym, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, Wifi, IT Infrastructure, Laboratories, Alumni Associations, Guest Room",Mumbai,Maharashtra,India,Public/Government,189512.8205
9,2114,120.0,Institute of Chemical Technology,"Fibres and Textile ProcessingTechnology", Matunga,Co-Ed,16 Acres,1753,116,2008,3.82,,"Boys Hostel, Girls Hostel, Gym, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, Wifi, IT Infrastructure, Laboratories, Alumni Associations, Guest Room",Mumbai,Maharashtra,India,Public/Government,189512.8205
80,2076,120.0,Thadomal Shahani Engineering College,Information Technology, Bandra,Co-Ed,,1718,110,1983,3.75,"University of Mumbai, Mumbai","Library, Sports, Cafeteria, Auditorium, Medical/Hospital, Wifi, IT Infrastructure, Laboratories, Alumni Associations",Mumbai,Maharashtra,India,Private,587000
