,Rank,Scores,Name,Branch,Town,Genders Accepted,Campus Size,Total Student Enrollments,Total Faculty,Established Year,Rating,University,Facilities,City_y,State,Country,College Type,Average Fees
567,7427,86.0470773,Atharva College of Engineering,Computer Engineering,Malad(West),Co-Ed,6 Acres,2057,130,1999,3.28,"University of Mumbai, Mumbai","Gym, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, Wifi, IT Infrastructure, Laboratories, Alumni Associations, Guest Room",Mumbai,Maharashtra,India,Private,480000
734,7393,86.0470773,JSPM Narhe Technical Campus,Computer Engineering, Pune.,Co-Ed,,2610,166,2011,2.6,"Savitribai Phule Pune University, Pune","Girls Hostel, Gym, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, IT Infrastructure, Transport, Laboratories, Alumni Associations, Guest Room, Banks Facilities",Pune,Maharashtra,India,Private,254818.1818
391,7475,86.0316146,Walchand Institute of Technology,Information Technology, Solapur,Co-Ed,22 Acres,2551,156,1983,3.17,"Solapur University, Solapur","Boys Hostel, Girls Hostel, Gym, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, Wifi, IT Infrastructure, Laboratories, Alumni Associations",Solapur,Maharashtra,India,Private,357692.3077
443,5087,86.0,Aurangabad College of Engineering,"Electronics and CommunicationEngineering",  Naygaon Savangi,Co-Ed,,608,77,2010,3.47,"Dr Babasaheb Ambedkar Marathwada University, Aurangabad","Gym, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, IT Infrastructure, Laboratories, Guest Room",Aurangabad,Maharashtra,India,Private,144000
282,5136,86.0,Bharati Vidyapeeth's College of Engineering,Computer Engineering,Lavale,Co-Ed,,2150,96,1999,3.64,"Guru Gobind Singh Indraprastha University, Delhi","Girls Hostel, Gym, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, IT Infrastructure, Laboratories, Alumni Associations",New Delhi,Delhi,India,Private,443000
284,5136,86.0,Bharati Vidyapeeth's College of Engineering,Computer Engineering,Lavale,Co-Ed,10 Acres,1317,51,2001,3.66,"Shivaji University, Kolhapur","Boys Hostel, Girls Hostel, Gym, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, Wifi, IT Infrastructure, Transport, Laboratories, Alumni Associations, Guest Room",Kolhapur,Maharashtra,India,Private,228857.1429
283,5136,86.0,Bharati Vidyapeeth's College of Engineering,Computer Engineering,Lavale,Co-Ed,10 Acres,793,43,2012,3.81,"Savitribai Phule Pune University, Pune","Boys Hostel, Girls Hostel, Gym, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, Wifi, IT Infrastructure, Transport, Laboratories, Alumni Associations, Guest Room",Lavale,Maharashtra,India,Private,283200
220,5145,86.0,MIT Academy of Engineering,Mechanical Engineering,Alandi,Co-Ed,11 Acres,3030,171,1999,3.54,"Savitribai Phule Pune University, Pune","Boys Hostel, Girls Hostel, Gym, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, Wifi, IT Infrastructure, Transport, Laboratories, Alumni Associations, Parking Facility, Guest Room",Pune,Maharashtra,India,Private,500454.5455
385,7582,85.8301142,Walchand Institute of Technology,Information Technology, Solapur,Co-Ed,22 Acres,2551,156,1983,3.34,"Solapur University, Solapur","Boys Hostel, Girls Hostel, Gym, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, Wifi, IT Infrastructure, Laboratories, Alumni Associations",Solapur,Maharashtra,India,Private,357692.3077
586,7672,85.744538,Vidyavardhini's College of Engineering and Technology,Computer Engineering, Vasai,Co-Ed,12 Acres,1809,65,1994,3.0,"University of Mumbai, Mumbai","Gym, Library, Sports, Cafeteria, Auditorium, IT Infrastructure, Laboratories",Vasai,Maharashtra,India,Private,360857.1429
181,7743,85.6296276,Thakur College of Engineering and Technology,Civil Engineering, Kandivali,Co-Ed,3 Acres,3193,135,2001,3.66,"University of Mumbai, Mumbai","Boys Hostel, Gym, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, Wifi, IT Infrastructure, Laboratories, Convenience Store, Alumni Associations, Guest Room, Banks Facilities",Mumbai,Maharashtra,India,Private,491666.6667
534,7853,85.4368932,Yeshwantrao Chavan College of Engineering,Information Technology,Wanadongri,Co-Ed,14 Acres,,298,1984,3.25,"Rashtrasant Tukadoji Maharaj Nagpur University, Nagpur","Boys Hostel, Girls Hostel, Gym, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, Wifi, IT Infrastructure, Transport, Laboratories, Swimming Pool, Banks Facilities",Nagpur,Maharashtra,India,Private,443454.5455
452,7970,85.3778214,Aurangabad College of Engineering,Computer Science and Engineering,  Naygaon Savangi,Co-Ed,,608,77,2010,3.38,"Dr Babasaheb Ambedkar Marathwada University, Aurangabad","Gym, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, IT Infrastructure, Laboratories, Guest Room",Aurangabad,Maharashtra,India,Private,144000
1278,8012,85.3283287,Adsul's Technical Campus,Civil Engineering, Chas Dist. Ahmednagar,Co-Ed,,624,68,2011,1.49,"Savitribai Phule Pune University, Pune","Library, Sports, Cafeteria, Auditorium, Medical/Hospital, IT Infrastructure, Transport, Laboratories, Guest Room",Chas,Maharashtra,India,Private,248833.3333
595,8001,85.3283287,Vidyavardhini's College of Engineering and Technology,Computer Engineering, Vasai,Co-Ed,12 Acres,1809,65,1994,3.13,"University of Mumbai, Mumbai","Gym, Library, Sports, Cafeteria, Auditorium, IT Infrastructure, Laboratories",Vasai,Maharashtra,India,Private,360857.1429
525,8113,85.0622493,Yeshwantrao Chavan College of Engineering,Information Technology,Wanadongri,Co-Ed,14 Acres,,298,1984,3.17,"Rashtrasant Tukadoji Maharaj Nagpur University, Nagpur","Boys Hostel, Girls Hostel, Gym, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, Wifi, IT Infrastructure, Transport, Laboratories, Swimming Pool, Banks Facilities",Nagpur,Maharashtra,India,Private,443454.5455
549,8172,85.0150423,Bharati Vidyapeeth's College of Engineering for Women,Computer Engineering, Katraj,Female,,905,56,2000,3.21,"Savitribai Phule Pune University, Pune","Girls Hostel, Gym, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, IT Infrastructure, Laboratories, Alumni Associations, Guest Room",Pune,Maharashtra,India,Private,323500
526,8204,85.0128714,Yeshwantrao Chavan College of Engineering,Computer Technology,Wanadongri,Co-Ed,14 Acres,,298,1984,3.45,"Rashtrasant Tukadoji Maharaj Nagpur University, Nagpur","Boys Hostel, Girls Hostel, Gym, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, Wifi, IT Infrastructure, Transport, Laboratories, Swimming Pool, Banks Facilities",Nagpur,Maharashtra,India,Private,443454.5455
408,5202,85.0,Sinhgad College of Engineering,Computer Engineering, Vadgaon (BK),Co-Ed,5 Acres,5292,300,1996,3.05,"Savitribai Phule Pune University, Pune","Boys Hostel, Girls Hostel, Library, Sports, Cafeteria, Auditorium, Wifi, IT Infrastructure, Swimming Pool, Alumni Associations",Pune,Maharashtra,India,Private,400476.1905
46,5314,85.0,Shri Ramdeobaba College of Engineering and Management,Electronics Engineering, Nagpur,Co-Ed,,4685,256,1984,3.54,"Rashtrasant Tukadoji Maharaj Nagpur University, Nagpur","Boys Hostel, Girls Hostel, Gym, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, IT Infrastructure, Laboratories, Convenience Store, Alumni Associations, Parking Facility, Banks Facilities",Nagpur,Maharashtra,India,Private,442916.6667
462,5239,85.0,Bharati Vidyapeeth College of Engineering,Computer Engineering, Belpada,Co-Ed,,2216,71,1990,3.3,"University of Mumbai, Mumbai","Boys Hostel, Girls Hostel, Gym, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, Wifi, IT Infrastructure, Laboratories, Convenience Store, Alumni Associations, Guest Room",Navi Mumbai,Maharashtra,India,Private,315875
486,5423,85.0,Shri Sant Gajanan Maharaj College of Engineering,Computer Science and Engineering,Shegaon,Co-Ed,82 Acres,933,90,1983,3.11,"Sant Gadge Baba Amravati University, Amravati","Boys Hostel, Girls Hostel, Gym, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, IT Infrastructure, Laboratories, Alumni Associations, Banks Facilities",Shegaon,Maharashtra,India,Private,284200
98,5270,85.0,Vivekanand Education Society's Institute of Technology,Electronics Engineering, Chembur,Co-Ed,,3138,126,1984,3.67,"University of Mumbai, Mumbai","Boys Hostel, Girls Hostel, Gym, Library, Sports, Cafeteria, Auditorium, IT Infrastructure, Laboratories, Alumni Associations, Guest Room",Mumbai,Maharashtra,India,Private,315500
82,5427,85.0,Thadomal Shahani Engineering College,Bio Technology, Bandra,Co-Ed,,1718,110,1983,3.95,"University of Mumbai, Mumbai","Library, Sports, Cafeteria, Auditorium, Medical/Hospital, Wifi, IT Infrastructure, Laboratories, Alumni Associations",Mumbai,Maharashtra,India,Private,587000
503,8360,84.8353696,Shri Sant Gajanan Maharaj College of Engineering,"Electronics andTelecommunication Engg",Shegaon,Co-Ed,82 Acres,933,90,1983,3.33,"Sant Gadge Baba Amravati University, Amravati","Boys Hostel, Girls Hostel, Gym, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, IT Infrastructure, Laboratories, Alumni Associations, Banks Facilities",Shegaon,Maharashtra,India,Private,284200
187,8383,84.7907305,Thakur College of Engineering and Technology,"Electronics andTelecommunication Engg", Kandivali,Co-Ed,3 Acres,3193,135,2001,3.86,"University of Mumbai, Mumbai","Boys Hostel, Gym, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, Wifi, IT Infrastructure, Laboratories, Convenience Store, Alumni Associations, Guest Room, Banks Facilities",Mumbai,Maharashtra,India,Private,491666.6667
73,8538,84.5759453,Shri Ramdeobaba College of Engineering and Management,Bio Medical Engineering, Nagpur,Co-Ed,,4685,256,1984,3.9,"Rashtrasant Tukadoji Maharaj Nagpur University, Nagpur","Boys Hostel, Girls Hostel, Gym, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, IT Infrastructure, Laboratories, Convenience Store, Alumni Associations, Parking Facility, Banks Facilities",Nagpur,Maharashtra,India,Private,442916.6667
699,8534,84.5759453,Marathwada Mitra Mandal's College of Engineering,Information Technology, Karvenagar,Co-Ed,,2483,85,2006,3.33,"Savitribai Phule Pune University, Pune","Boys Hostel, Girls Hostel, Gym, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, IT Infrastructure, Laboratories, Alumni Associations, Guest Room",Pune,Maharashtra,India,Private,283285.7143
1273,8660,84.4759838,Shri Gulabrao Deokar College of Engineering,Computer Engineering, Jalgaon,Co-Ed,,960,81,1999,1.38,"Kavayitri Bahinabai Chaudhari North Maharashtra University, Jalgaon","Boys Hostel, Girls Hostel, Gym, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, IT Infrastructure, Transport, Laboratories, Alumni Associations, Parking Facility, Guest Room",Jalgaon,Maharashtra,India,Private,176500
234,8773,84.3040913,MIT Academy of Engineering,"Electronics and TelecommunicationEngg",Alandi,Co-Ed,11 Acres,3030,171,1999,3.92,"Savitribai Phule Pune University, Pune","Boys Hostel, Girls Hostel, Gym, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, Wifi, IT Infrastructure, Transport, Laboratories, Alumni Associations, Parking Facility, Guest Room",Pune,Maharashtra,India,Private,500454.5455
693,8875,84.1362819,Marathwada Mitra Mandal's College of Engineering,Information Technology, Karvenagar,Co-Ed,,2483,85,2006,3.3,"Savitribai Phule Pune University, Pune","Boys Hostel, Girls Hostel, Gym, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, IT Infrastructure, Laboratories, Alumni Associations, Guest Room",Pune,Maharashtra,India,Private,283285.7143
370,5498,84.0,Walchand Institute of Technology,Information Technology, Solapur,Co-Ed,22 Acres,2551,156,1983,3.2,"Solapur University, Solapur","Boys Hostel, Girls Hostel, Gym, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, Wifi, IT Infrastructure, Laboratories, Alumni Associations",Solapur,Maharashtra,India,Private,357692.3077
481,8967,83.953146,Bharati Vidyapeeth College of Engineering,Information Technology,  Navi Mumbai,Co-Ed,,2216,71,1990,3.11,"University of Mumbai, Mumbai","Boys Hostel, Girls Hostel, Gym, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, Wifi, IT Infrastructure, Laboratories, Convenience Store, Alumni Associations, Guest Room",Navi Mumbai,Maharashtra,India,Private,315875
1004,60800,83.9184061,Shri Shivaji Education Society's College of Engineering and Technology,"Computer Science andEngineering","Akola",Co-Ed,39 Acres,983,47,1983,1.6,"Sant Gadge Baba Amravati University, Amravati","Boys Hostel, Girls Hostel, Gym, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, IT Infrastructure, Transport, Laboratories, Alumni Associations, Parking Facility, Guest Room, Banks Facilities",Amravati,Maharashtra,India,Private,293625
824,60898,83.7542269,Universal College of Engineering,"Artificial Intelligence and MachineLearning",Kaman Dist. Palghar,Co-Ed,5 Acres,1438,88,2012,2.69,"University of Mumbai, Mumbai","Girls Hostel, Library, Sports, Cafeteria, Auditorium, IT Infrastructure, Transport, Laboratories, Banks Facilities",Poman,Maharashtra,India,Private,384000
386,9154,83.7000641,Walchand Institute of Technology,Civil Engineering, Solapur,Co-Ed,22 Acres,2551,156,1983,3.28,"Solapur University, Solapur","Boys Hostel, Girls Hostel, Gym, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, Wifi, IT Infrastructure, Laboratories, Alumni Associations",Solapur,Maharashtra,India,Private,357692.3077
392,9127,83.7000641,Walchand Institute of Technology,Civil Engineering, Solapur,Co-Ed,22 Acres,2551,156,1983,3.07,"Solapur University, Solapur","Boys Hostel, Girls Hostel, Gym, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, Wifi, IT Infrastructure, Laboratories, Alumni Associations",Solapur,Maharashtra,India,Private,357692.3077
497,9521,83.2164625,Shri Sant Gajanan Maharaj College of Engineering,Information Technology,Shegaon,Co-Ed,82 Acres,933,90,1983,3.02,"Sant Gadge Baba Amravati University, Amravati","Boys Hostel, Girls Hostel, Gym, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, IT Infrastructure, Laboratories, Alumni Associations, Banks Facilities",Shegaon,Maharashtra,India,Private,284200
535,9505,83.2164625,Yeshwantrao Chavan College of Engineering,"Electronics andTelecommunication Engg",Wanadongri,Co-Ed,14 Acres,,298,1984,3.09,"Rashtrasant Tukadoji Maharaj Nagpur University, Nagpur","Boys Hostel, Girls Hostel, Gym, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, Wifi, IT Infrastructure, Transport, Laboratories, Swimming Pool, Banks Facilities",Nagpur,Maharashtra,India,Private,443454.5455
563,9512,83.2164625,Atharva College of Engineering,Information Technology,Malad(West),Co-Ed,6 Acres,2057,130,1999,3.07,"University of Mumbai, Mumbai","Gym, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, Wifi, IT Infrastructure, Laboratories, Alumni Associations, Guest Room",Mumbai,Maharashtra,India,Private,480000
779,9667,83.0211088,NBN Sinhgad Technical Institutes Campus,Computer Engineering, Pune,Co-Ed,17 Acres,1810,128,2011,2.53,"Savitribai Phule Pune University, Pune","Boys Hostel, Girls Hostel, Gym, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, Wifi, IT Infrastructure, Transport, Laboratories, Alumni Associations, Banks Facilities",Pune,Maharashtra,India,Private,352750
221,5655,83.0,MIT Academy of Engineering,Chemical Engineering,Alandi,Co-Ed,11 Acres,3030,171,1999,3.52,"Savitribai Phule Pune University, Pune","Boys Hostel, Girls Hostel, Gym, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, Wifi, IT Infrastructure, Transport, Laboratories, Alumni Associations, Parking Facility, Guest Room",Pune,Maharashtra,India,Private,500454.5455
164,5649,83.0,Thakur College of Engineering and Technology,"Electronics and TelecommunicationEngg", Kandivali,Co-Ed,3 Acres,3193,135,2001,3.87,"University of Mumbai, Mumbai","Boys Hostel, Gym, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, Wifi, IT Infrastructure, Laboratories, Convenience Store, Alumni Associations, Guest Room, Banks Facilities",Mumbai,Maharashtra,India,Private,491666.6667
1235,73063,83.0,Flora Institute of Technology,Computer Engineering, Khopi,Co-Ed,,277,57,2011,1.78,"Savitribai Phule Pune University, Pune","Boys Hostel, Girls Hostel, Gym, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, IT Infrastructure, Laboratories, Guest Room",Khopi,Maharashtra,India,Private,245285.7143
506,5603,83.0,Yeshwantrao Chavan College of Engineering,Computer Technology,Wanadongri,Co-Ed,14 Acres,,298,1984,3.18,"Rashtrasant Tukadoji Maharaj Nagpur University, Nagpur","Boys Hostel, Girls Hostel, Gym, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, Wifi, IT Infrastructure, Transport, Laboratories, Swimming Pool, Banks Facilities",Nagpur,Maharashtra,India,Private,443454.5455
354,5589,83.0,Vidyalankar Institute of Technology,Information Technology,Wadala,Co-Ed,11 Acres,3563,167,1999,3.06,"University of Mumbai, Mumbai","Boys Hostel, Girls Hostel, Gym, Library, Sports, Cafeteria, Medical/Hospital, Wifi, IT Infrastructure, Laboratories, Convenience Store, Alumni Associations, Parking Facility",Mumbai,Maharashtra,India,Private,433583.3333
248,5606,83.0,Pune Vidyarthi Griha's College of Engineering and Technology,Mechanical Engineering,  Pune,Co-Ed,8 Acres,,98,1985,3.84,"Savitribai Phule Pune University, Pune","Boys Hostel, Gym, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, Wifi, IT Infrastructure, Laboratories, Alumni Associations, Banks Facilities",Pune,Maharashtra,India,Private,394500
587,9795,82.8349555,Vidyavardhini's College of Engineering and Technology,Information Technology, Vasai,Co-Ed,12 Acres,1809,65,1994,3.31,"University of Mumbai, Mumbai","Gym, Library, Sports, Cafeteria, Auditorium, IT Infrastructure, Laboratories",Vasai,Maharashtra,India,Private,360857.1429
780,9843,82.75399,NBN Sinhgad Technical Institutes Campus,Information Technology, Pune,Co-Ed,17 Acres,1810,128,2011,2.76,"Savitribai Phule Pune University, Pune","Boys Hostel, Girls Hostel, Gym, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, Wifi, IT Infrastructure, Transport, Laboratories, Alumni Associations, Banks Facilities",Pune,Maharashtra,India,Private,352750
711,9831,82.75399,Bajaj Institute of Technology,Computer Engineering, Wardha,Co-Ed,,541,20,2017,2.55,"Dr Babasaheb Ambedkar Technological University, Lonere","Gym, Library, Sports, Cafeteria, Medical/Hospital, IT Infrastructure, Classrooms, Laboratories, Guest Room",Wardha,Maharashtra,India,Private,240000
596,9989,82.529609,Vidyavardhini's College of Engineering and Technology,Information Technology, Vasai,Co-Ed,12 Acres,1809,65,1994,3.27,"University of Mumbai, Mumbai","Gym, Library, Sports, Cafeteria, Auditorium, IT Infrastructure, Laboratories",Vasai,Maharashtra,India,Private,360857.1429
716,10060,82.5135857,Bajaj Institute of Technology,Mechanical Engineering, Wardha,Co-Ed,,541,20,2017,2.33,"Dr Babasaheb Ambedkar Technological University, Lonere","Gym, Library, Sports, Cafeteria, Medical/Hospital, IT Infrastructure, Classrooms, Laboratories, Guest Room",Wardha,Maharashtra,India,Private,240000
980,10132,82.3780358,Keystone School of Engineering,Mechanical Engineering, Pune,Co-Ed,7 Acres,726,54,2012,1.41,"Savitribai Phule Pune University, Pune","Boys Hostel, Girls Hostel, Gym, Library, Sports, Cafeteria, Auditorium, Wifi, IT Infrastructure, Transport, Laboratories",Pune,Maharashtra,India,Private,198000
671,10147,82.3764002,Lokmanya Tilak College of Engineering,Computer Engineering, Kopar Khairane,Co-Ed,3 Acres,2216,108,1994,3.17,"University of Mumbai, Mumbai","Gym, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, IT Infrastructure, Laboratories",Navi Mumbai,Maharashtra,India,Private,406000
550,10228,82.3595638,Bharati Vidyapeeth's College of Engineering for Women,Information Technology, Katraj,Female,,905,56,2000,3.22,"Savitribai Phule Pune University, Pune","Girls Hostel, Gym, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, IT Infrastructure, Laboratories, Alumni Associations, Guest Room",Pune,Maharashtra,India,Private,323500
588,10283,82.3289846,Vidyavardhini's College of Engineering and Technology,Artificial Intelligence and Data Science, Vasai,Co-Ed,12 Acres,1809,65,1994,3.05,"University of Mumbai, Mumbai","Gym, Library, Sports, Cafeteria, Auditorium, IT Infrastructure, Laboratories",Vasai,Maharashtra,India,Private,360857.1429
664,10363,82.1817193,Lokmanya Tilak College of Engineering,Computer Engineering, Kopar Khairane,Co-Ed,3 Acres,2216,108,1994,3.09,"University of Mumbai, Mumbai","Gym, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, IT Infrastructure, Laboratories",Navi Mumbai,Maharashtra,India,Private,406000
828,61661,82.1293083,Universal College of Engineering,Information Technology,Kaman Dist. Palghar,Co-Ed,5 Acres,1438,88,2012,2.45,"University of Mumbai, Mumbai","Girls Hostel, Library, Sports, Cafeteria, Auditorium, IT Infrastructure, Transport, Laboratories, Banks Facilities",Poman,Maharashtra,India,Private,384000
409,5826,82.0,Sinhgad College of Engineering,Computer Engineering, Vadgaon (BK),Co-Ed,5 Acres,5292,300,1996,3.21,"Savitribai Phule Pune University, Pune","Boys Hostel, Girls Hostel, Library, Sports, Cafeteria, Auditorium, Wifi, IT Infrastructure, Swimming Pool, Alumni Associations",Pune,Maharashtra,India,Private,400476.1905
227,5717,82.0,MIT Academy of Engineering,Mechanical Engineering,Alandi,Co-Ed,11 Acres,3030,171,1999,3.98,"Savitribai Phule Pune University, Pune","Boys Hostel, Girls Hostel, Gym, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, Wifi, IT Infrastructure, Transport, Laboratories, Alumni Associations, Parking Facility, Guest Room",Pune,Maharashtra,India,Private,500454.5455
547,10497,81.9028973,Bharati Vidyapeeth's College of Engineering for Women,Information Technology, Katraj,Female,,905,56,2000,3.05,"Savitribai Phule Pune University, Pune","Girls Hostel, Gym, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, IT Infrastructure, Laboratories, Alumni Associations, Guest Room",Pune,Maharashtra,India,Private,323500
568,10512,81.8931529,Atharva College of Engineering,Information Technology,Malad(West),Co-Ed,6 Acres,2057,130,1999,3.46,"University of Mumbai, Mumbai","Gym, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, Wifi, IT Infrastructure, Laboratories, Alumni Associations, Guest Room",Mumbai,Maharashtra,India,Private,480000
188,10657,81.707368,Thakur College of Engineering and Technology,Mechanical Engineering, Kandivali,Co-Ed,3 Acres,3193,135,2001,3.83,"University of Mumbai, Mumbai","Boys Hostel, Gym, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, Wifi, IT Infrastructure, Laboratories, Convenience Store, Alumni Associations, Guest Room, Banks Facilities",Mumbai,Maharashtra,India,Private,491666.6667
731,10765,81.673628,JSPM Narhe Technical Campus,Computer Engineering, Pune.,Co-Ed,,2610,166,2011,2.85,"Savitribai Phule Pune University, Pune","Girls Hostel, Gym, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, IT Infrastructure, Transport, Laboratories, Alumni Associations, Guest Room, Banks Facilities",Pune,Maharashtra,India,Private,254818.1818
476,10766,81.673628,Bharati Vidyapeeth College of Engineering,Chemical Engineering,  Navi Mumbai,Co-Ed,,2216,71,1990,3.27,"University of Mumbai, Mumbai","Boys Hostel, Girls Hostel, Gym, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, Wifi, IT Infrastructure, Laboratories, Convenience Store, Alumni Associations, Guest Room",Navi Mumbai,Maharashtra,India,Private,315875
717,10807,81.6656313,Bajaj Institute of Technology,Computer Engineering, Wardha,Co-Ed,,541,20,2017,2.18,"Dr Babasaheb Ambedkar Technological University, Lonere","Gym, Library, Sports, Cafeteria, Medical/Hospital, IT Infrastructure, Classrooms, Laboratories, Guest Room",Wardha,Maharashtra,India,Private,240000
820,10980,81.3864804,Universal College of Engineering,Information Technology,Kaman Dist. Palghar,Co-Ed,5 Acres,1438,88,2012,2.6,"University of Mumbai, Mumbai","Girls Hostel, Library, Sports, Cafeteria, Auditorium, IT Infrastructure, Transport, Laboratories, Banks Facilities",Poman,Maharashtra,India,Private,384000
241,11296,81.0222959,MIT Academy of Engineering,"Electronics andTelecommunication Engg",Alandi,Co-Ed,11 Acres,3030,171,1999,3.87,"Savitribai Phule Pune University, Pune","Boys Hostel, Girls Hostel, Gym, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, Wifi, IT Infrastructure, Transport, Laboratories, Alumni Associations, Parking Facility, Guest Room",Pune,Maharashtra,India,Private,500454.5455
201,5889,81.0,MKSSS's Cummins College of Engineering for Women,"Electronics and TelecommunicationEngg", Karvenagar,Female,4 Acres,2631,128,1991,3.72,"Savitribai Phule Pune University, Pune","Girls Hostel, Gym, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, Wifi, IT Infrastructure, Laboratories, Alumni Associations, Banks Facilities",Pune,Maharashtra,India,Private,618900
1208,73472,81.0,Sanghavi College of Engineering,Computer Engineering, Varvandi,Co-Ed,,755,60,2012,1.28,"Savitribai Phule Pune University, Pune","Boys Hostel, Girls Hostel, Gym, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, Wifi, IT Infrastructure, Transport",Nashik,Maharashtra,India,Private,268000
1293,11421,80.8987154,Government College of Engineering,"InstrumentationEngineering", Chandrapur,Co-Ed,10 Acres,1092,43,2013,1.03,"Anna University, Chennai","Boys Hostel, Girls Hostel, Gym, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, IT Infrastructure, Laboratories, Guest Room",Fathimanagar,Tamil Nadu,India,Public/Government,30200
1294,11421,80.8987154,Government College of Engineering,"InstrumentationEngineering", Chandrapur,Co-Ed,,1028,43,2013,1.25,"Anna University, Chennai","Boys Hostel, Girls Hostel, Gym, Sports, Cafeteria, Auditorium, Medical/Hospital, Wifi, IT Infrastructure, Laboratories, Guest Room",Dharmapuri,Tamil Nadu,India,Public/Government,36920
1292,11421,80.8987154,Government College of Engineering,"InstrumentationEngineering", Chandrapur,Co-Ed,36 Acres,1074,36,2012,1.23,"Anna University, Chennai","Boys Hostel, Girls Hostel, Gym, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, IT Infrastructure, Laboratories, Alumni Associations, Guest Room",Thanjavur,Tamil Nadu,India,Public/Government,34120
1282,11421,80.8987154,Government College of Engineering,"InstrumentationEngineering", Chandrapur,Co-Ed,114 Acres,910,74,1964,1.1,"Sant Gadge Baba Amravati University, Amravati","Boys Hostel, Girls Hostel, Gym, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, Wifi, IT Infrastructure, Laboratories, Alumni Associations",Amravati,Maharashtra,India,Public/Government,238733.3333
1283,11421,80.8987154,Government College of Engineering,"InstrumentationEngineering", Chandrapur,Co-Ed,40 Acres,1711,57,1960,1.2,"Shivaji University, Kolhapur","Boys Hostel, Girls Hostel, Gym, Library, Sports, Cafeteria, Auditorium, IT Infrastructure, Laboratories, Alumni Associations, Parking Facility",Karad,Maharashtra,India,Public/Government,219183.8462
1285,11421,80.8987154,Government College of Engineering,"InstrumentationEngineering", Chandrapur,Co-Ed,,1590,76,1986,1.52,"APJ Abdul Kalam Technological University, Thiruvananthapuram","Boys Hostel, Girls Hostel, Gym, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, IT Infrastructure, Transport, Laboratories, Convenience Store, Alumni Associations",Kannur,Kerala,India,Public/Government,24000
1286,11421,80.8987154,Government College of Engineering,"InstrumentationEngineering", Chandrapur,Co-Ed,55 Acres,1972,52,1981,1.57,"Anna University, Chennai","Boys Hostel, Girls Hostel, Library, Sports, Auditorium, Medical/Hospital, Wifi, IT Infrastructure, Transport, Alumni Associations, Banks Facilities",Tirunelveli,Tamil Nadu,India,Public/Government,25353.33333
